film_id,title,replacement_cost,rating,category_id,name,rental_id,rental_date,payment_id,amount,category_images
749,Rules Human,19.99,R,11,Horror,1520,2005-06-15 23:57:20,17503,7.99,https://i.ibb.co/YDK7scS/HORROR.png
552,Majestic Floats,15.99,PG,6,Documentary,1778,2005-06-16 18:54:48,17504,1.99,https://i.ibb.co/HzC8HhJ/DOCUMENTARY.png
551,Maiden Home,9.99,PG,13,New,1849,2005-06-17 00:13:19,17505,7.99,https://i.ibb.co/y5wGX3M/NEW.png
445,Hyde Doctor,11.99,G,4,Classics,2829,2005-06-19 21:11:30,17506,2.99,https://i.ibb.co/tx8qrb5/CLASSICS.png
563,Massacre Usual,16.99,R,10,Games,3130,2005-06-20 19:03:22,17507,7.99,https://i.ibb.co/RhDgkQV/GAMES.png
26,Annie Identity,15.99,G,14,Sci-Fi,3382,2005-06-21 14:05:23,17508,5.99,https://i.ibb.co/2qNzGp4/SCI-FI.png
961,Wash Heavenly,22.99,R,9,Foreign,2190,2005-06-18 01:29:51,17509,5.99,https://i.ibb.co/Ky7c46P/FOREIGN.png
527,Lola Agent,24.99,PG,11,Horror,2914,2005-06-20 03:43:18,17510,5.99,https://i.ibb.co/YDK7scS/HORROR.png
449,Identity Lover,12.99,PG-13,14,Sci-Fi,3081,2005-06-20 15:29:13,17511,2.99,https://i.ibb.co/2qNzGp4/SCI-FI.png
639,Opposite Necklace,9.99,PG,8,Family,1547,2005-06-16 01:42:24,17512,4.99,https://i.ibb.co/C066RtX/FAMILY.png
30,Anything Savannah,27.99,R,11,Horror,1564,2005-06-16 02:47:07,17513,6.99,https://i.ibb.co/YDK7scS/HORROR.png
868,Superfly Trip,27.99,PG,16,Travel,1879,2005-06-17 02:57:34,17514,0.99,https://i.ibb.co/xsF6d99/TRAVEL.png
545,Madness Attacks,14.99,PG-13,9,Foreign,1922,2005-06-17 06:04:25,17515,0.99,https://i.ibb.co/Ky7c46P/FOREIGN.png
16,Alley Evolution,23.99,NC-17,9,Foreign,2461,2005-06-18 19:58:12,17516,6.99,https://i.ibb.co/Ky7c46P/FOREIGN.png
69,Beverly Outlaw,21.99,R,14,Sci-Fi,2980,2005-06-20 08:35:03,17517,8.99,https://i.ibb.co/2qNzGp4/SCI-FI.png
855,Streak Ridgemont,28.99,PG-13,6,Documentary,3407,2005-06-21 16:14:02,17518,0.99,https://i.ibb.co/HzC8HhJ/DOCUMENTARY.png
738,Rocketeer Mother,27.99,PG-13,9,Foreign,1341,2005-06-15 12:26:18,17519,3.99,https://i.ibb.co/Ky7c46P/FOREIGN.png
398,Hanover Galaxy,21.99,NC-17,12,Music,1475,2005-06-15 21:08:01,17520,4.99,https://i.ibb.co/5FtM6Xg/MUSIC.png
809,Slipper Fidelity,14.99,PG-13,15,Sports,1731,2005-06-16 15:32:12,17521,0.99,https://i.ibb.co/9YktFXG/SPORTS.png
1,Academy Dinosaur,20.99,PG,6,Documentary,1210,2005-06-15 02:57:51,17522,0.99,https://i.ibb.co/HzC8HhJ/DOCUMENTARY.png
159,Closer Bang,12.99,R,5,Comedy,1457,2005-06-15 20:05:49,17523,4.99,https://i.ibb.co/pRcS9qP/COMEDY.png
436,Hours Rage,14.99,NC-17,13,New,1550,2005-06-16 01:58:35,17524,0.99,https://i.ibb.co/y5wGX3M/NEW.png
749,Rules Human,19.99,R,11,Horror,2766,2005-06-19 17:45:15,17525,4.99,https://i.ibb.co/YDK7scS/HORROR.png
476,Jason Trap,9.99,NC-17,8,Family,1994,2005-06-17 11:07:06,17526,5.99,https://i.ibb.co/C066RtX/FAMILY.png
906,Tramp Others,27.99,PG,5,Comedy,3372,2005-06-21 13:34:19,17527,2.99,https://i.ibb.co/pRcS9qP/COMEDY.png
857,Strictly Scarface,24.99,PG-13,5,Comedy,3421,2005-06-21 17:22:58,17528,2.99,https://i.ibb.co/pRcS9qP/COMEDY.png
61,Beauty Grease,28.99,G,7,Drama,1711,2005-06-16 14:11:52,17529,8.99,https://i.ibb.co/DPF6NzY/DRAMA.png
663,Patient Sister,29.99,NC-17,4,Classics,2274,2005-06-18 06:31:15,17530,0.99,https://i.ibb.co/tx8qrb5/CLASSICS.png
878,Teen Apollo,25.99,G,16,Travel,3026,2005-06-20 11:48:00,17531,4.99,https://i.ibb.co/xsF6d99/TRAVEL.png
946,Virtual Spoilers,14.99,NC-17,8,Family,3092,2005-06-20 16:04:42,17532,8.99,https://i.ibb.co/C066RtX/FAMILY.png
229,Devil Desire,12.99,R,1,Action,3326,2005-06-21 09:04:50,17533,7.99,https://i.ibb.co/YtpcQ4Q/ACTION.png
232,Dirty Ace,29.99,NC-17,10,Games,1654,2005-06-16 09:42:48,17534,2.99,https://i.ibb.co/RhDgkQV/GAMES.png
170,Command Darling,28.99,PG-13,9,Foreign,2041,2005-06-17 14:19:00,17535,8.99,https://i.ibb.co/Ky7c46P/FOREIGN.png
697,Primary Glass,16.99,G,1,Action,2499,2005-06-18 23:01:36,17536,0.99,https://i.ibb.co/YtpcQ4Q/ACTION.png
835,Spy Mile,13.99,PG-13,10,Games,1197,2005-06-15 01:42:46,17537,2.99,https://i.ibb.co/RhDgkQV/GAMES.png
149,Christmas Moonshine,21.99,NC-17,3,Children,1523,2005-06-16 00:18:40,17538,0.99,https://i.ibb.co/nrs56cC/CHILDREN.png
334,Freddy Storm,21.99,NC-17,11,Horror,2987,2005-06-20 08:55:50,17539,6.99,https://i.ibb.co/YDK7scS/HORROR.png
680,Pinocchio Simon,21.99,PG,5,Comedy,3067,2005-06-20 13:59:21,17540,8.99,https://i.ibb.co/pRcS9qP/COMEDY.png
160,Club Graffiti,12.99,PG-13,2,Animation,2011,2005-06-17 11:56:09,17541,3.99,https://i.ibb.co/hFtYt0f/ANIMATION.png
402,Harper Dying,15.99,G,2,Animation,2619,2005-06-19 08:03:12,17542,0.99,https://i.ibb.co/hFtYt0f/ANIMATION.png
462,Insider Arizona,17.99,NC-17,12,Music,3079,2005-06-20 15:13:40,17543,2.99,https://i.ibb.co/5FtM6Xg/MUSIC.png
475,Japanese Run,29.99,G,11,Horror,3206,2005-06-21 00:39:39,17544,0.99,https://i.ibb.co/YDK7scS/HORROR.png
832,Splash Gump,16.99,PG,8,Family,1792,2005-06-16 20:04:50,17545,5.99,https://i.ibb.co/C066RtX/FAMILY.png
191,Crooked Frogmen,27.99,PG-13,3,Children,1869,2005-06-17 02:08:00,17546,0.99,https://i.ibb.co/nrs56cC/CHILDREN.png
150,Cider Desire,9.99,PG,6,Documentary,2759,2005-06-19 17:10:24,17547,2.99,https://i.ibb.co/HzC8HhJ/DOCUMENTARY.png
