"id","title","category","category_id","rental_count","rank","city","city_id"
233,"Disciple Mother","Travel",16,3,1,"Lima",305
228,"Detective Vision","Classics",4,3,2,"Kurgan",285
111,"Caddyshack Jedi","Action",1,3,3,"Sorocaba",490
322,"Flatliners Killer","Sports",15,3,4,"Trshavn",545
941,"Videotape Arsenic","Games",10,2,5,"Nador",353
838,"Stagecoach Armageddon","Action",1,2,6,"Patiala",400
527,"Lola Agent","Horror",11,2,7,"Bucuresti",95
521,"Lies Treatment","Drama",7,2,8,"Pudukkottai",416
646,"Outbreak Divine","Games",10,2,9,"Battambang",60
697,"Primary Glass","Action",1,2,10,"Hsichuh",209
254,"Driver Annie","Sports",15,2,11,"Uijongbu",553
995,"Yentl Idaho","Horror",11,2,12,"Kaduna",252
746,"Rouge Squad","Games",10,2,13,"Grand Prairie",185
753,"Rush Goodfellas","Family",8,2,14,"Florencia",170
467,"Intrigue Worst","Foreign",9,2,15,"Huaian",210
906,"Tramp Others","Comedy",5,2,16,"Monywa",342
625,"None Spiking","Sci-Fi",14,2,17,"Huejutla de Reyes",212
602,"Mourning Purple","Sci-Fi",14,2,18,"Liepaja",303
481,"Jekyll Frogmen","New",13,2,19,"Qinhuangdao",422
165,"Coldblooded Darling","Sci-Fi",14,2,20,"Miraj",336
953,"Wait Cider","Animation",2,2,21,"al-Qatif",16
303,"Fantasy Troopers","Action",1,2,22,"Taguig",517
638,"Operation Operation","Comedy",5,2,23,"Bayugan",62
970,"Westward Seabiscuit","Classics",4,2,24,"Boa Vista",84
629,"Notorious Reunion","Documentary",6,2,25,"Tandil",524
220,"Deer Virginian","Music",12,2,26,"Hsichuh",209
109,"Butterfly Chocolat","New",13,2,27,"Ezhou",166
373,"Graduate Lord","Children",3,2,28,"Jaffna",230
611,"Musketeers Wait","Classics",4,2,29,"Lima",305
753,"Rush Goodfellas","Family",8,2,30,"Leshan",299
953,"Wait Cider","Animation",2,2,31,"Iwakuni",227
738,"Rocketeer Mother","Foreign",9,2,32,"Vila Velha",569
172,"Coneheads Smoochy","Drama",7,2,33,"Pingxiang",407
747,"Roxanne Rebel","Games",10,2,34,"Uijongbu",553
676,"Philadelphia Wife","Sports",15,2,35,"Southampton",494
595,"Moon Bunch","Foreign",9,2,36,"Ourense (Orense)",388
987,"Words Hunter","Music",12,2,37,"Chandrapur",107
807,"Sleuth Orient","Games",10,2,38,"Laredo",295
820,"Sons Interview","Animation",2,2,39,"Tanauan",523
84,"Boiled Dares","Travel",16,2,40,"Avellaneda",43
434,"Horror Reign","Travel",16,2,41,"Siliguri (Shiliguri)",478
875,"Talented Homicide","Sports",15,2,42,"Kimberley",267
63,"Bedazzled Married","Family",8,2,43,"Naju",357
690,"Pond Seattle","Animation",2,2,44,"Ueda",552
181,"Contact Anonymous","Travel",16,2,45,"South Hill",493
200,"Curtain Videotape","Games",10,2,46,"Deba Habe",141
127,"Cat Coneheads","Comedy",5,2,47,"London",312
76,"Birdcage Casper","Music",12,2,48,"Taguig",517
207,"Dangerous Uptown","Foreign",9,2,49,"Satna",464
562,"Masked Bubble","Music",12,2,50,"Daxian",139
800,"Sinners Atlantis","Horror",11,2,51,"Allende",19
880,"Telemark Heartbreakers","Animation",2,2,52,"Beni-Mellal",68
893,"Titans Jerk","Sci-Fi",14,2,53,"Birgunj",81
311,"Fiction Christmas","Foreign",9,2,54,"Sokoto",488
926,"Untouchables Sunrise","Documentary",6,2,55,"Ranchi",429
603,"Movie Shakespeare","Family",8,2,56,"Salamanca",445
814,"Snatch Slipper","Comedy",5,2,57,"Yangor",583
115,"Campus Remember","Action",1,2,58,"Tambaram",522
745,"Roses Treasure","Sports",15,2,59,"Kamyin",259
985,"Wonderland Christmas","Sci-Fi",14,2,60,"Laohekou",293
95,"Breakfast Goldfinger","New",13,2,61,"Ife",217
648,"Outlaw Hanky","Travel",16,2,62,"Sunnyvale",508
504,"Kwai Homeward","Drama",7,2,63,"Najafabad",356
869,"Suspects Quills","Action",1,2,64,"Pak Kret",394
563,"Massacre Usual","Games",10,2,65,"Kitwe",272
665,"Patton Interview","Horror",11,2,66,"Dhaka",143
21,"American Circus","Action",1,2,67,"Oulu",387
307,"Fellowship Autumn","Travel",16,2,68,"Balikesir",50
111,"Caddyshack Jedi","Action",1,2,69,"Zanzibar",593
285,"English Bulworth","Sci-Fi",14,2,70,"Laredo",295
49,"Badman Dawn","Sci-Fi",14,2,71,"Pak Kret",394
1000,"Zorro Ark","Comedy",5,2,72,"Huixquilucan",213
856,"Streetcar Intentions","Horror",11,2,73,"Atlixco",40
643,"Orient Closer","Drama",7,2,74,"Lima",305
381,"Grinch Massage","Games",10,2,75,"Bhilwara",74
21,"American Circus","Action",1,2,76,"Juazeiro do Norte",247
158,"Clones Pinocchio","Music",12,2,77,"Jining",241
353,"Gentlemen Stage","Foreign",9,2,78,"Bhopal",76
649,"Oz Liaisons","Animation",2,2,79,"Suihua",502
723,"Reign Gentlemen","Sci-Fi",14,2,80,"Donostia-San Sebastin",146
941,"Videotape Arsenic","Games",10,2,81,"Richmond Hill",430
170,"Command Darling","Foreign",9,2,82,"Jalib al-Shuyukh",233
388,"Gunfight Moon","Comedy",5,2,83,"Inegl",222
646,"Outbreak Divine","Games",10,2,84,"Ourense (Orense)",388
206,"Dancing Fever","Documentary",6,2,85,"Greensboro",187
542,"Lust Lock","Action",1,2,86,"Coatzacoalcos",125
773,"Seabiscuit Punk","Sports",15,2,87,"Shubra al-Khayma",476
644,"Oscar Gold","Animation",2,2,88,"Tokat",538
645,"Others Soup","Travel",16,2,89,"Graz",186
944,"Virgin Daisy","Drama",7,2,90,"Cam Ranh",100
738,"Rocketeer Mother","Foreign",9,2,91,"Maring",328
518,"Liaisons Sweet","Travel",16,2,92,"Wroclaw",577
803,"Slacker Liaisons","Drama",7,2,93,"Juiz de Fora",248
215,"Dawn Pond","Games",10,2,94,"Apeldoorn",29
854,"Strangers Graffiti","Horror",11,2,95,"Yangor",583
86,"Boogie Amelie","Music",12,2,96,"Udine",551
575,"Midsummer Groundhog","Documentary",6,2,97,"Braslia",89
961,"Wash Heavenly","Foreign",9,2,98,"Gandhinagar",176
326,"Flying Hook","Animation",2,2,99,"Mannheim",325
460,"Innocent Usual","Foreign",9,2,100,"Valparai",564
4,"Affair Prejudice","Horror",11,2,101,"Caracas",102
807,"Sleuth Orient","Games",10,2,102,"Warren",573
869,"Suspects Quills","Action",1,2,103,"Amersfoort",23
869,"Suspects Quills","Action",1,2,104,"Papeete",397
353,"Gentlemen Stage","Foreign",9,2,105,"Abu Dhabi",3
280,"Empire Malkovich","Children",3,2,106,"Davao",138
741,"Roman Punk","Music",12,2,107,"Tandil",524
698,"Princess Giant","Documentary",6,2,108,"Kimchon",268
536,"Lovely Jingle","Classics",4,2,109,"Tabora",513
911,"Trip Newton","Action",1,2,110,"Mosul",344
619,"Neighbors Charade","Sports",15,2,111,"Baha Blanca",45
972,"Whisperer Giant","Sci-Fi",14,2,112,"Halle/Saale",198
942,"Vietnam Smoochy","Drama",7,2,113,"Tegal",532
360,"Glass Dying","Action",1,2,114,"Rancagua",428
596,"Moonshine Cabin","Games",10,2,115,"Balaiha",49
295,"Expendable Stallion","Documentary",6,2,116,"Ipoh",223
307,"Fellowship Autumn","Travel",16,2,117,"Juazeiro do Norte",247
73,"Bingo Talented","Sci-Fi",14,2,118,"Shubra al-Khayma",476
915,"Truman Crazy","Action",1,2,119,"Hoshiarpur",208
951,"Voyage Legally","Classics",4,2,120,"Rio Claro",431
576,"Mighty Luck","Documentary",6,2,121,"Ljubertsy",310
579,"Minds Truman","Action",1,2,122,"Probolinggo",415
445,"Hyde Doctor","Classics",4,2,123,"Halle/Saale",198
141,"Chicago North","Games",10,2,124,"Cuauhtmoc",129
103,"Bucket Brotherhood","Travel",16,2,125,"Memphis",333
486,"Jet Neighbors","Foreign",9,2,126,"Uluberia",554
78,"Blackout Private","Animation",2,2,127,"Gatineau",179
595,"Moon Bunch","Foreign",9,2,128,"Arlington",33
843,"Steel Santa","Classics",4,2,129,"Baiyin",47
140,"Cheaper Clyde","Sci-Fi",14,2,130,"Halifax",196
966,"Wedding Apollo","Documentary",6,2,131,"Cape Coral",101
873,"Sweethearts Suspects","Children",3,2,132,"Vilnius",570
856,"Streetcar Intentions","Horror",11,2,133,"Memphis",333
502,"Knock Warlock","Comedy",5,2,134,"Benguela",67
979,"Witches Panic","Drama",7,2,135,"Meixian",332
263,"Durham Panky","Sports",15,2,136,"Mit Ghamr",337
805,"Sleepless Monsoon","Animation",2,2,137,"Fuyu",174
756,"Saddle Antitrust","Comedy",5,2,138,"Kalisz",255
462,"Insider Arizona","Music",12,2,139,"Arak",31
267,"Eagles Panky","New",13,2,140,"Datong",136
214,"Daughter Madigan","Children",3,2,141,"Jining",241
663,"Patient Sister","Classics",4,2,142,"Sasebo",463
574,"Midnight Westward","Action",1,2,143,"Bergamo",70
245,"Double Wrath","Animation",2,2,144,"Tychy",549
280,"Empire Malkovich","Children",3,2,145,"Lungtan",316
25,"Angels Life","New",13,2,146,"Kakamigahara",253
973,"Wife Turn","Documentary",6,2,147,"Sorocaba",490
271,"Easy Gladiator","Action",1,2,148,"San Felipe del Progreso",451
131,"Center Dinosaur","Classics",4,2,149,"Halisahar",197
500,"Kiss Glory","Foreign",9,2,150,"Coatzacoalcos",125
588,"Model Fish","Children",3,2,151,"Brindisi",93
341,"Frost Head","Classics",4,2,152,"Salinas",446
220,"Deer Virginian","Music",12,2,153,"Kamjanets-Podilskyi",258
440,"Hunger Roof","Foreign",9,2,154,"Sousse",492
890,"Tights Dawn","Sports",15,2,155,"Balikesir",50
581,"Minority Kiss","Music",12,2,156,"Naju",357
11,"Alamo Videotape","Foreign",9,2,157,"Lapu-Lapu",294
863,"Sun Confessions","Sci-Fi",14,2,158,"Sincelejo",480
979,"Witches Panic","Drama",7,2,159,"Moscow",343
484,"Jerk Paycheck","Classics",4,2,160,"Botshabelo",87
880,"Telemark Heartbreakers","Animation",2,2,161,"Kragujevac",280
973,"Wife Turn","Documentary",6,2,162,"Santa Brbara dOeste",456
952,"Wagon Jaws","Documentary",6,2,163,"Tangail",525
737,"Rock Instinct","Horror",11,2,164,"Bucuresti",95
911,"Trip Newton","Action",1,2,165,"Owo",389
113,"California Birds","Sports",15,2,166,"Plock",409
361,"Gleaming Jawbreaker","Sports",15,2,167,"Lungtan",316
12,"Alaska Phantom","Music",12,2,168,"Zhezqazghan",598
302,"Fantasia Park","Games",10,2,169,"La Romana",290
892,"Titanic Boondock","Animation",2,2,170,"Sumqayit",505
253,"Drifter Commandments","Action",1,2,171,"Mwene-Ditu",348
554,"Malkovich Pet","Classics",4,2,172,"Hamilton",200
535,"Love Suicides","Horror",11,2,173,"Tianjin",535
561,"Mask Peach","New",13,2,174,"Bhavnagar",73
303,"Fantasy Troopers","Action",1,2,175,"Cuautla",130
120,"Caribbean Liberty","Sports",15,2,176,"Ibirit",215
945,"Virginian Pluto","Documentary",6,2,177,"Lungtan",316
242,"Doom Dancing","Comedy",5,2,178,"Kuching",282
486,"Jet Neighbors","Foreign",9,2,179,"Imus",221
317,"Fireball Philadelphia","Comedy",5,2,180,"Sasebo",463
929,"Usual Untouchables","Foreign",9,2,181,"Chiayi",114
441,"Hunter Alter","Documentary",6,2,182,"Blumenau",83
12,"Alaska Phantom","Music",12,2,183,"Dhule (Dhulia)",144
437,"House Dynamite","Family",8,2,184,"El Fuerte",154
